2020-09-04 14:07:53,679 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:08:57,541 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:09:04,971 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:10:22,398 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:10:23,674 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:10:43,200 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:10:44,457 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:10:57,155 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:11:01,239 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:11:03,012 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:11:04,052 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:11:18,852 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:11:20,368 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:11:29,850 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:11:33,432 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:11:51,935 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:11:57,086 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:12:08,349 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:12:37,333 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:12:44,334 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:12:45,611 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:12:46,354 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:12:47,377 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:12:48,152 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:12:49,686 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:12:50,689 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:12:52,470 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:12:53,242 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:12:54,017 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
2020-09-04 14:12:56,630 | servo_control.ServoControl | MainProcess | ERROR | Error sending pipeline: 
